id,task,win,startf,posx_mean,posx_std,posy_mean,posy_std,eyex_mean,eyex_std,eyey_mean,eyey_std,eyexpos_corr,eyeypos_corr,path_total,path_speed,path_speed_sd,straightness,
104,1,20,18639,9.0668,20.662,-0.047469,9.8439,49.9616,12.6947,26.1317,12.2467,0.57944,-0.18204,15.039,1.5039,0.072004,1.0004,
104,1,21,18789,7.7546,20.1378,-0.72747,9.66,50.2094,12.8712,28.8632,13.1118,0.50828,-0.27794,14.8543,1.4854,0.098807,1.0207,
104,1,22,18939,-8.5999,11.3345,-6.618,3.7224,39.8354,13.2534,26.7305,8.0555,0.5349,0.40891,13.1661,1.3166,0.11552,1.0113,
104,1,23,19089,-14.4581,9.4614,-7.3709,5.1385,35.7817,12.1787,25.0005,6.8648,0.27084,0.48712,12.7285,1.2729,0.069253,1.0037,
104,1,24,19239,-12.6782,12.2933,1.6673,14.9416,34.6158,13.5129,30.6053,11.7226,0.45122,0.27168,13.2544,1.3254,0.044726,1.0013,
104,1,25,19389,-10.4625,20.2098,1.3173,15.7743,36.3542,14.9568,34.5044,9.4888,0.72094,0.11123,12.56,1.256,0.074906,1.0007,
104,1,26,19539,-17.6091,26.723,-5.4865,8.6785,33.3779,18.7381,29.035,4.7072,0.8311,-0.16349,12.5096,1.251,0.073648,1.0004,
104,1,27,19689,-4.3192,30.3387,-5.3486,8.7773,39.1381,22.5872,26.7072,3.9409,0.77537,-0.47518,13.3498,1.335,0.057137,1.028,
104,1,28,19839,17.5162,7.7522,-0.54113,14.102,45.449,16.8652,28.3373,8.4696,0.34314,-0.19738,13.9221,1.3922,0.061321,1.0701,
104,1,29,19989,11.3375,7.1092,13.0045,13.7427,41.746,10.0558,38.1023,13.5649,0.022241,-0.39923,14.5298,1.453,0.05456,1.0346,
104,1,30,20139,9.8018,8.5649,10.617,17.042,42.6745,11.2612,36.0879,15.1861,0.48014,-0.21768,14.2544,1.4254,0.08743,1.002,
104,1,31,20289,17.0104,10.2335,1.8552,13.5016,46.0179,12.6789,27.5235,13.5711,0.51829,-0.11409,13.9882,1.3988,0.076268,1.0002,
104,1,32,20439,24.474,23.3809,2.6725,7.7598,48.3552,14.7845,31.9669,14.4036,0.59672,-0.37067,14.3749,1.4375,0.047482,1.0003,
104,1,33,20589,23.0285,23.9622,2.4002,10.4922,44.7496,15.6539,35.0951,12.5778,0.59025,-0.46691,14.4514,1.4451,0.051731,1.0003,
104,1,34,20739,21.5505,14.4156,-0.95904,8.716,49.3508,15.8736,25.2792,12.6278,0.54107,-0.38278,14.5038,1.4504,0.049769,1.0003,
104,1,35,20889,16.1475,21.3197,5.6175,10.8918,47.1856,17.6205,28.9279,15.7035,0.75318,-0.077221,14.5986,1.4599,0.023023,1.0001,
104,1,36,21039,11.3866,17.6727,7.0241,11.724,44.2325,14.465,34.5932,16.072,0.65128,0.13701,14.7148,1.4715,0.023809,1.0003,
104,1,37,21189,12.4203,12.6929,1.7791,11.5706,52.194,15.483,28.7461,13.1151,0.67969,-0.39146,14.6243,1.4624,0.040027,1.0014,
104,1,38,21339,11.9822,11.8397,3.2178,13.1306,49.214,15.623,31.539,10.705,0.72604,-0.46025,13.9137,1.3914,0.07895,1.0026,
104,1,39,21489,12.7548,18.0284,3.4338,11.9182,45.4482,14.2253,30.8633,11.104,0.74946,-0.40389,12.679,1.2679,0.096087,1.0009,
104,1,40,21639,10.5295,18.2563,-3.09,10.6194,43.2038,15.1519,29.5481,9.7156,0.6983,-0.39121,11.2327,1.1233,0.10239,1.0004,
104,1,41,21789,9.2325,10.2101,-7.0463,7.3113,40.099,13.0309,27.8848,8.5573,0.49945,-0.23797,11.0356,1.1036,0.095843,1.0025,
104,1,42,21939,5.5589,21.6663,-4.9789,5.9408,42.3495,17.3078,26.7947,7.4168,0.71531,-0.32032,11.8722,1.1872,0.063311,1.0033,
104,1,43,22089,9.9968,23.0131,-13.1917,10.7306,47.881,17.2225,29.828,8.0919,0.73898,-0.2171,12.4141,1.2414,0.040668,1.0004,
104,1,44,22239,15.5988,11.9475,-20.1761,6.0709,49.758,14.6589,29.2506,7.342,0.42811,-0.20139,12.923,1.2923,0.051268,1.0007,
104,1,45,22389,11.8233,12.6071,-13.9792,9.1082,47.6108,15.1239,29.8453,8.5534,0.627,-0.14748,13.1758,1.3176,0.057231,1.0007,
104,1,46,22539,18.6132,14.9517,-7.125,9.371,51.1223,16.3392,32.2192,11.1866,0.75246,-0.38381,13.3814,1.3381,0.057501,1.0013,
104,1,47,22689,20.6519,12.9066,5.2258,12.2558,54.568,14.3665,40.3711,17.2669,0.67727,-0.54918,10.2678,1.0268,0.40449,1.0105,
104,2,1,32295,-26.757,12.9442,-7.9953,5.6438,50.6618,11.8271,22.237,4.3346,0.73631,-0.43594,5.2512,0.52512,0.42563,1.0817,
104,2,2,32445,-28.9917,6.0708,-3.7784,3.0432,48.5947,12.3708,24.0954,4.6802,0.41432,-0.33109,10.9424,1.0942,0.28033,1.0041,
104,2,3,32595,-30.1367,5.1517,-4.602,3.3622,46.3078,13.856,26.1341,4.3194,0.24501,-0.10418,13.4717,1.3472,0.083339,1.0023,
104,2,4,32745,-26.0376,3.8551,-5.1179,2.5049,47.7073,9.5112,27.0354,8.105,-0.0024673,-0.013162,12.8493,1.2849,0.14269,1.0016,
104,2,5,32895,-24.1591,3.5115,-2.3821,2.7608,45.6837,9.2957,25.8776,8.4693,0.28166,-0.093691,11.9015,1.1901,0.13355,1.0008,
104,2,6,33045,-21.7339,5.3834,0.90553,2.8105,44.0027,9.6058,26.5663,9.4866,0.64391,0.031186,14.4532,1.4453,0.27606,1.0006,
104,2,7,33195,-14.6634,6.6509,0.47298,3.409,49.9042,10.0367,27.5824,9.9273,0.72529,-0.18046,17.3955,1.7396,0.12503,1.0005,
104,2,8,33345,-16.6211,11.2002,0.79034,3.2851,41.9552,15.9864,26.1803,3.3746,0.60349,-0.47894,17.2609,1.7261,0.10952,1.0002,
104,2,9,33495,-8.9,19.5639,5.4875,6.052,39.9422,15.0266,30.1712,8.3354,0.48109,0.40294,15.7793,1.5779,0.1017,1.0007,
104,2,10,33645,-1.1402,22.2142,5.4839,5.9312,49.016,16.5854,31.1004,8.7598,0.47068,0.33552,14.4563,1.4456,0.11043,1.0011,
104,2,11,33795,4.515,24.0358,0.64956,3.0586,46.7352,16.053,29.3411,5.6455,0.39795,0.22538,12.5715,1.2571,0.15791,1.0168,
104,2,12,33945,12.8277,14.2957,1.6987,4.0786,40.4606,10.4468,31.5295,6.2486,0.29272,0.29933,11.1211,1.1121,0.047384,1.0659,
104,2,13,34095,-3.9899,29.6822,5.0177,3.3996,42.0563,10.6585,33.4971,7.6818,0.10625,0.55677,10.114,1.0114,0.10803,1.0138,
104,2,14,34245,-5.2787,42.3068,5.4722,5.1758,41.3734,15.6125,34.9253,9.451,0.49231,0.60632,9.9982,0.99982,0.11023,1.0184,
104,2,15,34395,-21.1535,43.5062,4.2273,5.7101,39.6345,14.6212,33.1405,8.5111,0.35241,0.64232,10.9133,1.0913,0.078096,1.0202,
104,2,16,34545,-46.8202,9.0391,4.4803,4.108,39.7489,10.1965,32.9183,6.1445,0.27822,0.15375,8.888,0.8888,0.27863,1.0345,
104,2,17,34695,-20.9354,33.6926,3.0999,4.659,40.5906,15.4348,30.5746,8.2054,0.6639,-0.65614,8.1826,0.81826,0.28598,1.0665,
104,2,18,34845,-6.4278,31.9113,3.7748,5.4411,45.3233,16.5405,25.0406,4.6648,0.64107,-0.57888,9.1203,0.91203,0.24073,1.022,
104,2,19,34995,12.6542,38.2235,3.2326,5.289,50.6357,13.5001,26.7001,4.3496,0.55819,0.1848,8.2214,0.82214,0.16147,1.1958,
